,partid,gamble_lab,samplesize,switchfreq,switchcount,decision,group,domain,session,switch_grp,pairtype,ev_diff,L_id,L_ev,L_ev_var,H_id,H_ev,H_ev_var
770,12,S16G2,30,0.06896551724137931,2,H,old,gain,16,rare,HL-LH,1.28526315789,24.0,4.83263157895,74.4423830138,40.0,6.11789473684,25.5788497217
771,12,S16G3,30,0.06666666666666667,2,H,old,loss,16,rare,HH-LL,1.29578947368,19.0,-6.1263157894,28.987012987,2.0,-4.8305263157,61.6334776335
772,12,S16G4,31,0.03333333333333333,1,H,old,loss,16,rare,HL-LH,0.909473684211,1.0,-5.93052631579,64.6493506494,16.0,-5.02105263158,11.5194805195
773,12,S17G1,31,0.03333333333333333,1,L,old,gain,17,rare,HH-LL,0.874736842105,25.0,5.10526315789,27.8499278499,34.0,5.98,79.1107070707
774,12,S17G2,30,0.03333333333333333,1,H,old,gain,17,rare,HL-LH,0.875789473684,24.0,5.00105263158,73.3725005154,33.0,5.87684210526,19.0871985158
775,12,S17G3,31,0.03333333333333333,1,L,old,loss,17,rare,HH-LL,0.840526315789,19.0,-5.93368421053,16.8831168831,14.0,-5.09315789474,61.0713254999
776,12,S17G4,30,0.06896551724137931,2,L,old,loss,17,rare,HL-LH,0.815789473684,2.0,-5.84736842105,76.5360824742,15.0,-5.03157894737,26.7546897547
777,12,S18G1,30,0.034482758620689655,1,L,old,gain,18,rare,HH-LL,1.15684210526,30.0,4.96842105263,18.882704597,41.0,6.12526315789,76.3265306122
778,12,S18G2,30,0.034482758620689655,1,H,old,gain,18,rare,HL-LH,0.901052631579,23.0,5.15263157895,62.8907441765,33.0,6.05368421053,14.693877551
779,12,S18G3,31,0.06451612903225806,2,L,old,loss,18,rare,HH-LL,1.11578947368,15.0,-6.1178947368,23.6866625438,7.0,-5.0021052631,77.5289631004
780,12,S18G4,31,0.03333333333333333,1,H,old,loss,18,rare,HL-LH,1.05052631579,3.0,-5.867368421,67.3562152134,20.0,-4.8168421052,12.7280972995
781,12,S19G1,15,0.06666666666666667,1,H,old,gain,19,rare,HH-LL,0.837894736842,31.0,5.15052631579,10.7217068646,23.0,5.98842105263,67.159554731
782,12,S19G2,30,0.03333333333333333,1,H,old,gain,19,rare,HL-LH,0.897894736842,26.0,5.13684210526,60.1764584622,33.0,6.03473684211,10.2857142857
783,12,S19G3,30,0.03333333333333333,1,H,old,loss,19,rare,HH-LL,1.22210526316,11.0,-6.1568421052,29.6400742115,14.0,-4.9347368421,61.6173984745
784,12,S19G4,30,0.034482758620689655,1,H,old,loss,19,rare,HL-LH,1.15578947368,14.0,-6.0105263157,64.4794887652,20.0,-4.8547368421,15.6668728097
785,12,S1G1,34,0.030303030303030304,1,H,old,gain,1,rare,HH-LL,0.832105263158,30.0,5.15789473684,19.3477633478,23.0,5.99,64.8091115234
786,12,S1G2,33,0.0,0,L,old,gain,1,rare,HL-LH,1.02631578947,24.0,5.06842105263,77.8738691353,33.0,6.09473684211,17.9962894249
787,12,S1G3,30,0.03333333333333333,1,L,old,loss,1,rare,HH-LL,0.825263157895,16.0,-5.89263157895,19.3951762523,8.0,-5.06736842105,73.0018552876
788,12,S1G4,35,0.030303030303030304,1,L,old,loss,1,rare,HL-LH,1.06578947368,14.0,-6.1621052631,65.5852401567,16.0,-5.0963157894,11.5194805195
789,12,S20G1,30,0.0,0,L,old,gain,20,rare,HH-LL,0.907894736842,31.0,5.02105263158,11.5194805195,29.0,5.92894736842,66.0467073427
790,12,S20G2,31,0.0967741935483871,3,H,old,gain,20,rare,HL-LH,1.14526315789,41.0,4.97894736842,63.1910946197,30.0,6.12421052632,28.8369408369
791,12,S20G3,46,0.022222222222222223,1,H,old,loss,20,rare,HH-LL,0.942105263158,19.0,-5.81052631579,15.7625231911,8.0,-4.86842105263,79.547309833
792,12,S20G4,30,0.0,0,L,old,loss,20,rare,HL-LH,0.949473684211,14.0,-5.98947368421,63.9259946403,16.0,-5.04,23.957979798
793,12,S21G1,44,0.046511627906976744,2,H,old,gain,21,rare,HH-LL,1.08421052632,28.0,4.90526315789,26.5565862709,23.0,5.98947368421,63.9259946403
794,12,S21G2,45,0.045454545454545456,2,H,old,gain,21,rare,HL-LH,0.922105263158,24.0,5.15789473684,72.8264275407,36.0,6.08,16.5920428778
