,gid,domain,pairtype,ev_diff,L_id,L_x1,L_x2,L_x3,L_p1,L_p2,L_p3,L_ev,L_ev_var,H_id,H_x1,H_x2,H_x3,H_p1,H_p2,H_p3,H_ev,H_ev_var,prop_H_all,prop_H_all_old,prop_H_all_yng,prop_H_g1,prop_H_g1_old,prop_H_g1_yng,prop_H_g2,prop_H_g2_old,prop_H_g2_yng,ss_all,ss_all_old,ss_all_yng,ss_med_all,ss_med_old,ss_med_yng,ss_g1,ss_g1_old,ss_g1_yng,ss_g2,ss_g2_old,ss_g2_yng,sf_all,sf_all_old,sf_all_yng,sf_g1,sf_g1_old,sf_g1_yng,sf_g2,sf_g2_old,sf_g2_yng
30,S7G3,loss,HH-LL,0.987368421053,9.0,-3.0,-13.0,-18.0,0.74,0.148421052632,0.111578947368,-6.15789473684,29.9525870954,7.0,-1.0,-23.0,0.0,0.74,0.192631578947,0.067368421052,-5.17052631579,76.4021851165,0.68115942029,0.647058823529,0.714285714286,0.615384615385,0.666666666667,0.571428571429,0.696428571429,0.642857142857,0.75,29.1,26.7428571429,31.4571428571,21.5,22.0,21.0,13.5714285714,14.4285714286,12.7142857143,32.9821428571,29.8214285714,36.1428571429,0.244108846836,0.248937276817,0.239280416856,0.859182393961,0.96,0.758364787921,0.090340460055,0.07117159602,0.10950932409
43,S14G3,loss,HH-LL,1.10526315789,19.0,-6.0,-12.0,0.0,0.71,0.14789473684,0.14210526315,-6.0347368421,10.2857142857,7.0,-1.0,-23.0,0.0,0.62,0.18736842105,0.19263157894,-4.9294736842,74.4423830138,0.69565217391,0.61764705882,0.77142857142,0.5,0.28571428571,0.71428571428,0.74545454545,0.7037037037,0.78571428571,24.8714285714,23.1428571429,26.6,18.0,18.0,29.0,17.3571428571,16.5714285714,18.1428571429,26.75,24.7857142857,28.7142857143,0.26946358822,0.28589510722,0.25303206923,0.72409507375,0.86466165413,0.58352849336,0.15580571684,0.14120347049,0.1704079632
3,S18G3,loss,HH-LL,1.11578947368,15.0,-7.0,-13.0,0.0,0.44,0.23368421052,0.32631578947,-6.1178947368,23.6866625438,7.0,-1.0,-23.0,0.0,0.62,0.19052631578,0.18947368421,-5.0021052631,77.5289631004,0.75,0.58823529411,0.91176470588,0.78571428571,0.71428571428,0.85714285714,0.74074074074,0.55555555555,0.92592592592,22.2571428571,19.2285714286,25.2857142857,17.0,16.0,18.0,14.4285714286,17.1428571429,11.7142857143,24.2142857143,19.75,28.6785714286,0.2712985414,0.30307075475,0.23952632805,0.95238095238,1.0,0.90476190476,0.10102793866,0.12883844344,0.07321743388
81,S3G3,loss,HH-LL,1.15157894737,15.0,-7.0,-13.0,0.0,0.74,0.06,0.2,-5.96,10.7342815914,7.0,-1.0,-23.0,0.0,0.62,0.18210526315,0.19789473684,-4.8084210526,74.4423830138,0.73529411764,0.66666666666,0.8,0.64285714285,0.57142857142,0.71428571428,0.75925925925,0.6923076923,0.82142857142,27.6,22.8857142857,32.3142857143,21.5,19.0,24.0,17.7857142857,18.1428571429,17.4285714286,30.0535714286,24.0714285714,36.0357142857,0.28873399006,0.29868398194,0.27878399818,0.96189535102,0.98571428571,0.93807641633,0.12044364982,0.126926406,0.11396089364
68,S12G3,loss,HH-LL,1.16,4.0,-7.0,-23.0,0.0,0.77,0.03,0.2,-6.08,16.59,8.0,0.0,-22.0,-18.0,0.74,0.06,0.2,-4.92,69.29,0.571,0.6,0.542,0.785,0.857,0.714,0.517,0.535,0.5,29.27,26.17,32.37,20.0,16.0,20.0,16.64,16.42,16.85,32.42,28.6,36.25,0.227,0.254,0.199,0.784,1.0,0.569,0.087,0.068,0.106
11,S21G3,loss,HH-LL,1.22105263158,19.0,-6.0,-12.0,0.0,0.59,0.20894736842,0.20105263157,-6.047368421,14.693877551,7.0,-1.0,-23.0,0.0,0.65,0.18157894736,0.16842105263,-4.8263157894,74.788975384,0.78947368421,0.71428571428,0.86206896551,0.76923076923,0.66666666666,0.85714285714,0.79545454545,0.72727272727,0.86363636363,20.6571428571,19.6857142857,21.6285714286,14.0,13.0,14.0,18.0714285714,17.7142857143,18.4285714286,21.3035714286,20.1785714286,22.4285714286,0.28999699434,0.27700557496,0.3021223191,0.93259705614,0.996124031,0.8781453634,0.10435697649,0.08088235967,0.12681095779
15,S19G3,loss,HH-LL,1.22210526316,11.0,-4.0,-2.0,-18.0,0.71,0.11894736842,0.17105263157,-6.1568421052,29.6400742115,14.0,0.0,-1.0,-18.0,0.53,0.20736842105,0.26263157894,-4.9347368421,61.6173984745,0.71212121212,0.66666666666,0.75757575757,0.78571428571,0.85714285714,0.71428571428,0.6923076923,0.61538461538,0.76923076923,24.6142857143,23.4,25.8285714286,20.0,20.0,19.0,16.2857142857,17.0,15.5714285714,26.6964285714,25.0,28.3928571429,0.2684526696,0.32440007687,0.21415077431,0.93095238095,1.0,0.8619047619,0.09345274585,0.14250778988,0.04621455531
10,S16G3,loss,HH-LL,1.29578947368,19.0,-6.0,-12.0,0.0,0.2,0.41052631578,0.38947368421,-6.1263157894,28.987012987,2.0,-2.0,-24.0,0.0,0.71,0.14210526315,0.14789473684,-4.8305263157,61.6334776335,0.62318840579,0.57142857142,0.67647058823,0.57142857142,0.42857142857,0.71428571428,0.63636363636,0.60714285714,0.66666666666,24.2857142857,22.6285714286,25.9428571429,18.5,16.0,21.0,15.8571428571,15.4285714286,16.2857142857,26.3928571429,24.4285714286,28.3571428571,0.24417013711,0.26890479671,0.21943547751,0.90967326324,0.98412698412,0.83521954236,0.07779435558,0.09009924986,0.06548946129
29,S17G4,loss,HL-LH,0.815789473684,2.0,-2.0,-24.0,0.0,0.65,0.189473684211,0.160526315789,-5.84736842105,76.5360824742,15.0,-7.0,-13.0,0.0,0.32,0.214736842105,0.465263157895,-5.03157894737,26.7546897547,0.485294117647,0.6,0.363636363636,0.428571428571,0.714285714286,0.142857142857,0.5,0.571428571429,0.423076923077,27.3142857143,25.8857142857,28.7428571429,20.5,19.0,24.0,16.7857142857,17.5714285714,16.0,29.9464285714,27.9642857143,31.9285714286,0.256401915284,0.261423762686,0.251232366488,0.955357142857,0.996428571429,0.914285714286,0.078486039174,0.0776725605,0.079329646689
65,S5G4,loss,HL-LH,0.824736842105,1.0,-3.0,-24.0,0.0,0.71,0.153684210526,0.136315789474,-5.81842105263,60.8423005566,20.0,-4.0,-12.0,0.0,0.56,0.229473684211,0.210526315789,-4.99368421053,16.9235209235,0.565217391304,0.571428571429,0.558823529412,0.785714285714,0.857142857143,0.714285714286,0.509090909091,0.5,0.518518518519,26.6142857143,22.4571428571,30.7714285714,19.5,20.0,19.0,18.4285714286,20.0,16.8571428571,28.6607142857,23.0714285714,34.25,0.242208724239,0.274588353169,0.209829095309,0.804050355774,1.0,0.608100711549,0.101748316355,0.093235441461,0.110261191249
18,S11G4,loss,HL-LH,0.827368421053,3.0,-1.0,-23.0,-18.0,0.74,0.111578947368,0.148421052632,-5.97789473684,71.8645640074,16.0,-5.0,-13.0,0.0,0.74,0.111578947368,0.148421052632,-5.15052631579,10.7217068646,0.463768115942,0.411764705882,0.514285714286,0.357142857143,0.285714285714,0.428571428571,0.490909090909,0.444444444444,0.535714285714,27.1571428571,23.5428571429,30.7714285714,19.0,17.0,21.0,20.0,17.8571428571,22.1428571429,28.9464285714,24.9642857143,32.9285714286,0.254768564717,0.29571984348,0.213817285954,0.814473684211,0.990476190476,0.638471177945,0.114842284843,0.12203075673,0.107653812956
35,S7G4,loss,HL-LH,0.869473684211,2.0,-2.0,-24.0,0.0,0.62,0.196842105263,0.183157894737,-5.96421052632,79.530818388,10.0,-5.0,-1.0,-18.0,0.8,0.147368421053,0.052631578947,-5.09473684211,10.8998144712,0.428571428571,0.542857142857,0.314285714286,0.357142857143,0.428571428571,0.285714285714,0.446428571429,0.571428571429,0.321428571429,29.1571428571,28.3142857143,30.0,22.0,21.0,22.0,20.0714285714,24.8571428571,15.2857142857,31.4285714286,29.1785714286,33.6785714286,0.241763132465,0.26767468045,0.21585158448,0.82967032967,1.0,0.659340659341,0.094786333163,0.084593350562,0.104979315765
13,S16G4,loss,HL-LH,0.909473684211,1.0,-3.0,-24.0,0.0,0.68,0.162105263158,0.157894736842,-5.93052631579,64.6493506494,16.0,-5.0,-13.0,0.0,0.71,0.113157894737,0.176842105263,-5.02105263158,11.5194805195,0.426470588235,0.411764705882,0.441176470588,0.538461538462,0.833333333333,0.285714285714,0.4,0.321428571429,0.481481481481,26.8142857143,24.6857142857,28.9428571429,20.5,18.0,22.0,19.0714285714,17.0,21.1428571429,28.75,26.6071428571,30.8928571429,0.275512546354,0.309044200595,0.241980892112,0.91341991342,1.0,0.82683982684,0.116035704587,0.136305250744,0.09576615843
45,S2G4,loss,HL-LH,0.91,0.0,-2.0,-24.0,-18.0,0.8,0.136,0.063,-6.02,64.83,22.0,-8.0,-11.0,0.0,0.23,0.297,0.472,-5.11,24.74,0.642,0.685,0.6,0.571,0.714,0.428,0.66,0.678,0.642,28.14,25.85,30.42,22.0,20.0,22.0,18.0,16.28,19.71,30.67,28.25,33.1,0.254,0.255,0.254,0.869,0.894,0.844,0.101,0.095,0.107
25,S15G4,loss,HL-LH,0.923684210526,3.0,-1.0,-23.0,-18.0,0.77,0.182105263158,0.047894736842,-5.82052631579,78.5029890744,22.0,-8.0,-11.0,0.0,0.23,0.277894736842,0.492105263158,-4.89684210526,24.5104102247,0.514705882353,0.558823529412,0.470588235294,0.769230769231,0.666666666667,0.857142857143,0.454545454545,0.535714285714,0.37037037037,26.1142857143,21.2285714286,31.0,17.5,17.0,23.0,16.5714285714,16.0,17.1428571429,28.5,22.5357142857,34.4642857143,0.263580179041,0.29264314885,0.234517209231,0.912142857143,1.0,0.824285714286,0.101439509515,0.115803936063,0.087075082967
56,S6G4,loss,HL-LH,0.932631578947,2.0,-2.0,-24.0,0.0,0.62,0.191578947368,0.188421052632,-5.83789473684,79.530818388,17.0,-3.0,-13.0,0.0,0.44,0.275789473684,0.284210526316,-4.90526315789,26.5565862709,0.485294117647,0.575757575758,0.4,0.538461538462,0.666666666667,0.428571428571,0.472727272727,0.555555555556,0.392857142857,27.2142857143,24.1428571429,30.2857142857,21.0,18.0,24.0,16.9285714286,15.1428571429,18.7142857143,29.7857142857,26.3928571429,33.1785714286,0.260308361855,0.286704370418,0.233912353291,0.91112244898,1.0,0.822244897959,0.097604840073,0.108380463023,0.086829217124
40,S8G4,loss,HL-LH,0.935263157895,14.0,0.0,-1.0,-18.0,0.41,0.27,0.32,-6.03,67.4916512059,20.0,-4.0,-12.0,0.0,0.53,0.247894736842,0.222105263158,-5.09473684211,18.1504844362,0.6,0.571428571429,0.628571428571,0.571428571429,0.428571428571,0.714285714286,0.607142857143,0.607142857143,0.607142857143,26.5142857143,25.4285714286,27.6,18.0,17.0,19.0,12.5,15.5714285714,9.42857142857,30.0178571429,27.8928571429,32.1428571429,0.257450333914,0.267596950462,0.247303717367,0.914285714286,1.0,0.828571428571,0.093241488821,0.084496188077,0.101986789566
8,S20G4,loss,HL-LH,0.949473684211,14.0,0.0,-1.0,-18.0,0.2,0.494736842105,0.305263157895,-5.98947368421,63.9259946403,16.0,-5.0,-13.0,0.0,0.41,0.23,0.36,-5.04,23.957979798,0.492063492063,0.451612903226,0.53125,0.571428571429,0.428571428571,0.714285714286,0.469387755102,0.458333333333,0.48,23.7857142857,18.3428571429,29.2285714286,17.5,12.0,23.0,16.2857142857,15.2857142857,17.2857142857,25.6607142857,19.1071428571,32.2142857143,0.261632868143,0.276036743952,0.248101954505,0.952380952381,1.0,0.904761904762,0.068223404556,0.064880794271,0.071308890973
